latitude,longitude,first_alert,last_alert,alerts,max_prob
40.33,-87.0,2015-08-02,2025-10-07,236,1.0
40.33,-86.95,2015-08-02,2025-10-07,236,1.0
40.33,-86.9,2015-08-02,2025-10-07,236,1.0
40.33,-86.85,2015-08-02,2025-10-07,236,1.0
40.33,-86.8,2015-08-02,2025-10-07,236,1.0
40.38,-87.0,2015-08-02,2025-10-07,236,1.0
40.38,-86.95,2015-08-02,2025-10-07,236,1.0
40.38,-86.9,2015-08-02,2025-10-07,236,1.0
40.38,-86.85,2015-08-02,2025-10-07,236,1.0
40.38,-86.8,2015-08-02,2025-10-07,236,1.0
40.43,-87.0,2015-08-02,2025-10-07,236,1.0
40.43,-86.95,2015-08-02,2025-10-07,236,1.0
40.43,-86.9,2015-08-02,2025-10-07,236,1.0
40.43,-86.85,2015-08-02,2025-10-07,236,1.0
40.43,-86.8,2015-08-02,2025-10-07,236,1.0
40.48,-87.0,2015-08-02,2025-10-07,236,1.0
40.48,-86.95,2015-08-02,2025-10-07,236,1.0
40.48,-86.9,2015-08-02,2025-10-07,236,1.0
40.48,-86.85,2015-08-02,2025-10-07,236,1.0
40.48,-86.8,2015-08-02,2025-10-07,236,1.0
40.53,-87.0,2015-08-02,2025-10-07,236,1.0
40.53,-86.95,2015-08-02,2025-10-07,236,1.0
40.53,-86.9,2015-08-02,2025-10-07,236,1.0
40.53,-86.85,2015-08-02,2025-10-07,236,1.0
40.53,-86.8,2015-08-02,2025-10-07,236,1.0
